ORDER	ORTHOGRAPHY	IPA	FREQUENCY
1	to	tˈuː	5327272
2	I	ˈa‍ɪ	4343102
3	it	ˈɪt	4317835
4	and	ˈænd	4255508
5	you	jˈuː	4178884
6	of	ˈɒv	3779783
7	s	ˈɛs	3385674
8	that	ðˈæt	3110587
9	is	ˈɪz	3047923
10	in	ˈɪn	2950040
11	we	wˈiː	2013550
12	for	fˈɔː	1706951
13	on	ˈɒn	1569081
14	this	ðˈɪs	1568879
15	was	wˈɒz	1509144
16	they	ðˈe‍ɪ	1352607
17	be	bˈiː	1283610
18	what	wˈɒt	1209686
19	but	bˈʌt	1162474
20	with	wˈɪð	1141430
21	not	nˈɒt	1060351
22	there	ðˈe‍ə	1050536
23	so	sˈə‍ʊ	987856
24	at	ˈæt	984810
25	all	ˈɔːl	850940
26	one	wˈɒn	740004
27	can	kˈæn	728539
28	just	d‍ʒˈʌst	720817
29	will	wˈɪl	717082
30	me	mˈiː	696518
31	up	ˈʌp	683393
32	like	lˈa‍ɪk	681544
33	my	mˈa‍ɪ	662093
34	about	ɐbˈa‍ʊt	657540
35	m	ˈɛm	648543
36	think	θˈɪŋk	646550
37	has	hˈæz	644910
38	if	ˈɪf	642953
39	your	jˈɔː	638943
40	from	fɹˈɒm	631971
41	get	ɡˈɛt	618803
42	out	ˈa‍ʊt	611911
43	got	ɡˈɒt	590673
44	going	ɡˈə‍ʊɪŋ	589149
45	here	hˈi‍ə	568952
46	would	wˈʊd	567763
47	now	nˈa‍ʊ	549611
48	well	wˈɛl	540985
49	go	ɡˈə‍ʊ	540766
50	know	nˈə‍ʊ	536165
51	been	bˈiːn	532802
52	she	ʃˈiː	524565
53	very	vˈɛɹi	519645
54	an	ˈɐn	504518
55	his	hˈɪz	502568
56	had	hˈæd	472871
57	right	ɹˈa‍ɪt	463884
58	did	dˈɪd	457966
59	good	ɡˈʊd	454018
60	time	tˈa‍ɪm	451369
61	people	pˈiːpə‍l	448926
62	them	ðˈɛm	448459
63	were	wˈɜː	448329
64	when	wˈɛn	439946
65	see	sˈiː	438143
66	how	hˈa‍ʊ	433942
67	who	hˈuː	423246
68	more	mˈɔː	419530
69	really	ɹˈi‍əli	395394
70	or	ˈɔː	394860
71	oh	ˈə‍ʊ	392066
72	their	ðˈe‍ə	384298
73	by	bˈa‍ɪ	381382
74	some	sˈʌm	379473
75	could	kˈʊd	375249
76	yeah	jˈɛh	374958
77	which	wˈɪt‍ʃ	370900
78	come	kˈʌm	362872
79	back	bˈæk	358568
80	her	hˈɜː	355000
81	yes	jˈɛs	344989
82	look	lˈʊk	340978
83	want	wˈɒnt	337934
84	our	ˈa‍ʊ‍ə	335403
85	because	bɪkˈʌz	332401
86	then	ðˈɛn	328780
87	him	hˈɪm	310930
88	two	tˈuː	301575
89	first	fˈɜːst	299625
90	let	lˈɛt	292314
91	into	ˈɪntʊ	288299
92	us	ˈʌs	286408
93	over	ˈə‍ʊvɐ	279764
94	make	mˈe‍ɪk	278271
95	say	sˈe‍ɪ	273058
96	where	wˈe‍ə	270445
97	these	ðˈiːz	268109
98	way	wˈe‍ɪ	264662
99	much	mˈʌt‍ʃ	262022
100	bit	bˈɪt	252546
101	down	dˈa‍ʊn	247982
102	off	ˈɒf	244091
103	take	tˈe‍ɪk	241661
104	need	nˈiːd	236346
105	said	sˈɛd	228139
106	d	dˈiː	222578
107	little	lˈɪtə‍l	217970
108	why	wˈa‍ɪ	212785
109	only	ˈə‍ʊnli	210401
110	than	ðˈɐn	209504
111	something	sˈʌmθɪŋ	209180
112	any	ˈɛni	207385
113	years	jˈi‍əz	201824
114	should	ʃˈʊd	199558
115	great	ɡɹˈe‍ɪt	199260
116	day	dˈe‍ɪ	197132
117	done	dˈʌn	196524
118	work	wˈɜːk	195874
119	lot	lˈɒt	192787
120	new	njˈuː	191855
121	other	ˈʌðɐ	190316
122	last	lˈɑːst	189843
123	today	tədˈe‍ɪ	183044
124	through	θɹˈuː	177095
125	big	bˈɪɡ	176888
126	still	stˈɪl	175740
127	thing	θˈɪŋ	175602
128	after	ˈɑːftɐ	175461
129	those	ðˈə‍ʊz	175436
130	three	θɹˈiː	175244
131	things	θˈɪŋz	173311
132	too	tˈuː	170360
133	year	jˈi‍ə	167410
134	made	mˈe‍ɪd	162547
135	being	bˈiːɪŋ	159660
136	next	nˈɛkst	156749
137	doing	dˈuːɪŋ	156327
138	find	fˈa‍ɪnd	156210
139	never	nˈɛvɐ	155547
140	before	bɪfˈɔː	153732
141	world	wˈɜːld	153712
142	love	lˈʌv	151607
143	thank	θˈæŋk	149814
144	many	mˈɛni	149674
145	home	hˈə‍ʊm	146371
146	most	mˈə‍ʊst	146261
147	give	ɡˈɪv	146245
148	around	ɐɹˈa‍ʊnd	146220
149	man	mˈæn	145147
150	even	ˈiːvən	143570
151	looking	lˈʊkɪŋ	141942
152	thought	θˈɔːt	139551
153	away	ɐwˈe‍ɪ	139294
154	money	mˈʌni	138993
155	again	ɐɡˈɛn	138518
156	tell	tˈɛl	134558
157	life	lˈa‍ɪf	131194
158	also	ˈɒlsə‍ʊ	130741
159	long	lˈɒŋ	128115
160	might	mˈa‍ɪt	126440
161	sure	ʃˈɔː	125797
162	old	ˈə‍ʊld	125626
163	another	ɐnˈʌðɐ	124464
164	actually	ˈækt‍ʃuːə‍li	124408
165	best	bˈɛst	122338
166	place	plˈe‍ɪs	121307
167	show	ʃˈə‍ʊ	119606
168	its	ˈɪts	119480
169	start	stˈɑːt	118728
170	end	ˈɛnd	118566
171	better	bˈɛtɐ	117098
172	always	ˈɔːlwe‍ɪz	117021
173	government	ɡˈʌvənmənt	116509
174	coming	kˈʌmɪŋ	114457
